Anime ID,Title,Type,Score,Episodes,Popularity,Members,Genres,Studios,Year,Season,Updated_At
38883,Haikyu!! To the Top,TV,8.37,13,172,1014091,Sports,Production I.G,2020,winter,2025-08-03
39534,Toilet-Bound Hanako-kun,TV,7.82,12,353,661061,Supernatural,Lerche,2020,winter,2025-08-03
38668,Dorohedoro,TV,8.04,12,397,603549,"Action, Comedy, Fantasy, Horror",MAPPA,2020,winter,2025-08-03
38656,Darwin's Game,TV,7.21,11,401,597689,"Action, Mystery, Suspense",Nexus,2020,winter,2025-08-03
38790,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",TV,7.5,12,417,580403,"Action, Adventure, Comedy, Fantasy",SILVER LINK.,2020,winter,2025-08-03
39017,In/Spectre,TV,6.92,12,470,516249,"Mystery, Romance, Supernatural",Brain's Base,2020,winter,2025-08-03
36862,Made in Abyss: Dawn of the Deep Soul,Movie,8.61,1,477,512292,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Kinema Citrus,2020,winter,2025-08-03
40010,Interspecies Reviewers,TV,7.4,12,499,494722,"Comedy, Fantasy, Erotica",Passione,2020,winter,2025-08-03
37345,Plunderer,TV,6.65,24,523,473322,"Action, Fantasy, Romance, Ecchi",Geek Toys,2020,winter,2025-08-03
40046,ID: INVADED,TV,7.81,13,615,413809,"Mystery, Sci-Fi, Suspense",NAZ,2020,winter,2025-08-03
38992,"Science Fell in Love, So I Tried to Prove It",TV,7.34,12,680,380405,"Comedy, Romance",Zero-G,2020,winter,2025-08-03
41094,The Daily Life of the Immortal King,ONA,7.32,15,693,376277,"Adventure, Comedy, Fantasy",Haoliners Animation League,2020,winter,2025-08-03
39792,Keep Your Hands Off Eizouken!,TV,8.13,12,729,358581,"Adventure, Award Winning, Comedy",Science SARU,2020,winter,2025-08-03
40262,Haikyu!! Land vs. Air,OVA,7.84,2,796,332057,Sports,Production I.G,2020,winter,2025-08-03
39576,Goblin Slayer: Goblin's Crown,Movie,7.26,1,857,313611,"Action, Adventure, Fantasy",White Fox,2020,winter,2025-08-03
39575,Somali and the Forest Spirit,TV,7.81,12,870,309246,"Adventure, Drama, Fantasy","Satelight, HORNETS",2020,winter,2025-08-03
38481,A Certain Scientific Railgun T,TV,8.14,25,1035,259458,"Action, Fantasy, Sci-Fi",J.C.Staff,2020,winter,2025-08-03
39988,Isekai Quartet 2,TV,7.36,12,1078,247950,"Comedy, Fantasy",Studio PuYUKAI,2020,winter,2025-08-03
40483,Seton Academy: Join the Pack!,TV,6.91,12,1247,213056,"Comedy, Ecchi",Studio Gokumi,2020,winter,2025-08-03
38909,Infinite Dendrogram,TV,6.2,13,1363,193757,"Action, Adventure, Fantasy",NAZ,2020,winter,2025-08-03
38924,Nekopara,TV,6.72,12,1425,184426,Slice of Life,Felix Film,2020,winter,2025-08-03
38256,Magia Record: Puella Magi Madoka Magica Side Story,TV,6.83,13,1519,172567,"Drama, Suspense",Shaft,2020,winter,2025-08-03
40746,Overflow,ONA,7.24,8,1631,156350,Hentai,Studio Hokiboshi,2020,winter,2025-08-03
40392,Smile Down the Runway,TV,7.55,12,1831,136202,Drama,Ezόla,2020,winter,2025-08-03
40453,Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Is It Wrong to go Searching for Herbs on a Deserted Island?,OVA,6.5,1,2089,115584,"Adventure, Comedy, Fantasy, Ecchi",J.C.Staff,2020,winter,2025-08-03
40591,Kaguya-sama: Love is War?,TV,8.62,12,99,1443483,"Comedy, Romance",A-1 Pictures,2020,spring,2025-08-03
40221,Tower of God,TV,7.56,13,168,1035388,"Action, Adventure, Drama, Fantasy, Mystery",Telecom Animation Film,2020,spring,2025-08-03
40902,Food Wars! The Fifth Plate,TV,7.31,13,427,570026,"Gourmet, Ecchi",J.C.Staff,2020,spring,2025-08-03
40417,Fruits Basket 2nd Season,TV,8.53,25,432,561087,"Drama, Romance, Supernatural",TMS Entertainment,2020,spring,2025-08-03
39463,Gleipnir,TV,6.95,13,460,524626,"Action, Mystery, Ecchi",PINE JAM,2020,spring,2025-08-03
38555,My Next Life as a Villainess: All Routes Lead to Doom!,TV,7.45,12,503,492705,"Comedy, Fantasy, Romance",SILVER LINK.,2020,spring,2025-08-03
41168,A Whisker Away,ONA,7.35,1,520,475105,"Award Winning, Drama, Romance, Supernatural",Studio Colorido,2020,spring,2025-08-03
41120,The Millionaire Detective – Balance: Unlimited,TV,7.51,11,541,460238,Mystery,CloverWorks,2020,spring,2025-08-03
40060,BNA: Brand New Animal,TV,7.34,12,658,392214,"Action, Fantasy",Trigger,2020,spring,2025-08-03
40716,Kakushigoto,TV,7.97,12,758,346416,Comedy,Ajia-do,2020,spring,2025-08-03
39710,"Sing ""Yesterday"" for Me",TV,6.87,12,807,326852,"Drama, Romance",Doga Kobo,2020,spring,2025-08-03
39292,Princess Connect! Re:Dive,TV,7.03,13,872,308508,"Adventure, Comedy, Fantasy, Gourmet",CygamesPictures,2020,spring,2025-08-03
38830,The 8th Son? Are You Kidding Me?,TV,6.27,12,1011,264516,"Action, Fantasy","SynergySP, Shin-Ei Animation",2020,spring,2025-08-03
40815,Ascendance of a Bookworm Season 2,TV,8.08,12,1122,239452,Fantasy,Ajia-do,2020,spring,2025-08-03
39555,Baki: The Great Raitai Tournament Saga,ONA,7.54,13,1177,227757,Sports,TMS Entertainment,2020,spring,2025-08-03
40128,Arte,TV,7.2,12,1777,140483,Drama,Seven Arcs,2020,spring,2025-08-03
40532,Appare-Ranman!,TV,7.24,13,1796,138582,Comedy,P.A. Works,2020,spring,2025-08-03
40682,Kingdom: Season 3,TV,8.83,26,1986,122731,Action,"Pierrot, Studio Signpost",2020,spring,2025-08-03
39469,Tsugu Tsugumomo,TV,7.4,12,1999,121700,"Action, Comedy, Supernatural, Ecchi",Zero-G,2020,spring,2025-08-03
38843,Shironeko Project ZERO CHRONICLE,TV,5.4,12,2180,107573,"Action, Adventure, Fantasy",Project No.9,2020,spring,2025-08-03
40485,Strike the Blood IV,OVA,6.93,12,2388,93253,"Action, Fantasy, Ecchi",Connect,2020,spring,2025-08-03
40513,"Wave, Listen to Me!",TV,7.34,12,2453,89580,"Comedy, Drama",Sunrise,2020,spring,2025-08-03
39730,Diary of Our Days at the Breakwater,TV,7.44,12,2850,70243,"Gourmet, Slice of Life",Doga Kobo,2020,spring,2025-08-03
40165,Listeners,TV,5.4,12,2938,66498,"Action, Sci-Fi",MAPPA,2020,spring,2025-08-03
41074,Digimon Adventure:,TV,6.49,67,3102,60070,"Action, Adventure, Comedy, Fantasy",Toei Animation,2020,spring,2025-08-03
